#{"t_start": 1776339266.0730002, "env_id": "None"}
r,l,t
-7265.827,300,1474.535933
-7251.966,300,1474.535942
-7264.374,300,1474.535951
-7266.689,300,1536.891415
-7266.6943,300,1536.891539
-7274.246,300,1536.89157
-7273.842,300,1536.891594
-7269.8965,300,1536.891615
-7273.6636,300,1536.891636
-7258.8687,300,1536.891656
-7265.328,300,1536.891676
-7278.4385,300,1603.355474
-7280.927,300,1603.355589
-7270.489,300,1603.355607
-7281.798,300,1603.35562
-7265.1064,300,1603.355632
-7280.919,300,1603.355644
-7255.8887,300,1603.355655
-7261.0576,300,1603.355666
-7256.624,300,1669.047015
-7274.7803,300,1669.047129
-7263.967,300,1669.047153
-7265.4272,300,1669.047181
-7274.2114,300,1669.047196
-7235.733,300,1669.047209
-7266.5605,300,1669.047222
-7248.194,300,1669.047238
-7265.9565,300,1734.522874
-7284.042,300,1734.522951
-7276.6055,300,1734.522967
-7256.634,300,1734.522977
-7240.587,300,1734.522986
-7270.68,300,1734.522996
-7265.0913,300,1734.523006
-7272.789,300,1734.523016
-7273.523,300,1801.263763
-7272.918,300,1801.263856
-7271.7056,300,1801.26387
-7278.2397,300,1801.26388
-7273.826,300,1801.263889
-7277.1323,300,1801.263899
-7267.336,300,1801.263908
-7260.198,300,1801.263916
-7279.062,300,1868.314825
-7261.2817,300,1868.31493
-7302.5337,300,1868.314947
-7292.4653,300,1868.314959
-7273.085,300,1868.31497
-7289.3184,300,1868.314981
-7276.735,300,1868.314992
-7287.3506,300,1868.315002
-7278.44,300,1934.640503
-7274.476,300,1934.640609
-7277.9404,300,1934.640626
-7264.596,300,1934.640638
-7270.0117,300,1934.640649
-7259.245,300,1934.640658
-7273.008,300,1934.640668
-7265.7563,300,1934.640678
-7283.9976,300,2000.021986
-7298.4673,300,2000.022094
-7312.6685,300,2000.022111
-7255.104,300,2000.022122
-7281.9043,300,2000.022135
-7295.2627,300,2000.022145
-7282.8594,300,2000.022171
-7267.7,300,2000.022186
-7253.743,300,2065.179435
-7283.915,300,2065.17954
-7268.778,300,2065.179556
-7252.13,300,2065.179569
-7271.171,300,2065.179579
-7290.838,300,2065.179589
-7290.587,300,2065.179599
-7272.475,300,2065.179608
-7280.786,300,2128.95572
-7287.5923,300,2128.955819
-7290.4023,300,2128.955836
-7286.5146,300,2128.955863
-7304.613,300,2128.955872
-7279.5674,300,2128.955881
-7287.153,300,2128.955889
-7273.418,300,2128.955898
-7322.3003,300,2191.044647
-7343.922,300,2191.044755
-7247.6943,300,2191.044771
-7324.706,300,2191.044782
-7302.514,300,2191.044792
-7313.3823,300,2191.044803
-7326.234,300,2191.044813
-7302.535,300,2191.044823
-7291.4736,300,2249.10028
-7284.8022,300,2249.100361
-7305.76,300,2249.100377
-7274.288,300,2249.100387
-7293.155,300,2249.100397
-7273.843,300,2249.100407
-7291.3916,300,2249.100416
-7278.5234,300,2249.100425
-7266.6074,300,2338.460638
-7279.506,300,2338.460751
-7283.165,300,2338.460767
-7298.9307,300,2338.460778
-7281.5796,300,2338.460789
-7278.2837,300,2338.460799
-7289.5864,300,2338.460809
-7266.363,300,2338.460819
-7278.371,300,2397.143972
-7282.267,300,2397.144074
-7296.1504,300,2397.14409
-7299.5645,300,2397.144101
-7286.425,300,2397.144112
-7300.621,300,2397.144122
-7301.5444,300,2397.144131
-7242.626,300,2397.14414
-7298.3125,300,2454.827498
-7313.913,300,2454.827604
-7314.5215,300,2454.827622
-7246.9863,300,2454.827634
-7284.4863,300,2454.827644
-7275.997,300,2454.827653
-7285.8105,300,2454.827662
-7305.9805,300,2454.827672
-7279.964,300,2516.223476
-7279.442,300,2516.223606
-7329.7905,300,2516.223635
-7290.1885,300,2516.223659
-7332.6934,300,2516.22368
-7306.9175,300,2516.223701
-7313.9243,300,2516.223721
-7315.7866,300,2516.223741
-7312.8677,300,2574.62098
-7346.7524,300,2574.621057
-7342.39,300,2574.621073
-7308.3345,300,2574.621085
-7341.375,300,2574.621095
-7362.619,300,2574.621105
-7330.681,300,2574.621115
-7342.6206,300,2574.621125
-7356.0938,300,2635.107424
-7376.8677,300,2635.107511
-7406.7646,300,2635.107527
-7393.2275,300,2635.10754
-7382.188,300,2635.107551
-7416.4067,300,2635.107561
-7378.5796,300,2635.107571
-7383.1685,300,2635.107581
-7282.544,300,2697.960594
-7292.675,300,2697.960695
-7305.33,300,2697.960713
-7335.884,300,2697.960725
-7317.406,300,2697.960734
-7341.146,300,2697.960746
-7331.1387,300,2697.960755
-7316.241,300,2697.960766
-7325.8394,300,2760.519407
-7340.1387,300,2760.519499
-7296.324,300,2760.519516
-7334.0327,300,2760.519527
-7333.7935,300,2760.519539
-7340.7534,300,2760.51955
-7347.838,300,2760.51956
-7357.217,300,2760.51957
-7323.379,300,2822.131236
-7357.5586,300,2822.131335
-7332.9233,300,2822.131351
-7356.1396,300,2822.131362
-7353.756,300,2822.131372
-7366.3853,300,2822.131381
-7330.9854,300,2822.131391
-7331.458,300,2822.131399
-7337.0024,300,2885.325553
-7373.0684,300,2885.325664
-7390.246,300,2885.325682
-7421.9443,300,2885.325695
-7365.0283,300,2885.325705
-7354.6777,300,2885.325716
-7380.1353,300,2885.325725
-7393.6025,300,2885.325735
-7389.5825,300,2946.461972
-7470.1343,300,2946.462056
-7456.5596,300,2946.462074
-7400.074,300,2946.462086
-7420.7964,300,2946.462097
-7457.0464,300,2946.462107
-7406.573,300,2946.462117
-7446.862,300,2946.462127
-7445.8774,300,3002.886892
-7431.3286,300,3002.886969
-7411.5024,300,3002.886984
-7424.57,300,3002.886994
-7425.987,300,3002.887009
-7431.5723,300,3002.887018
-7424.902,300,3002.887027
-7482.5723,300,3002.887036
-7426.096,300,4955.943838
-7429.2954,300,4955.943893
-7407.9653,300,4955.943902
-7398.2734,300,4955.943907
-7458.175,300,4955.943913
-7417.8696,300,4955.943918
-7399.352,300,4955.943923
-7344.8354,300,4955.943928
